,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,CLD,SCL,Newala_cluster,datetime,day of year,month,ndvi,target,year,evi
9638,0.163775,0.393325,0.282,0.1615499999999999,0.174425,0.1833499999999999,0.223175,0.271975,0.2986499999999999,0.3163749999999999,0.34375,0.346625,0.0,4.0,Newala DC 03-03,2022-10-04 07:42:57,277.0,10.0,0.3043065831910456,0.0,2022.0,0.3752134552855039
9639,0.1636,0.40465,0.2905749999999999,0.16445,0.1765999999999999,0.1891,0.229775,0.2754,0.298775,0.32015,0.3467249999999999,0.35165,0.0,4.0,Newala DC 03-03,2022-10-14 07:42:54,287.0,10.0,0.29417253767554696,0.0,2022.0,0.37068174870070303
9640,0.1642,0.394325,0.2952,0.1699,0.1775499999999999,0.183525,0.22995,0.2746,0.306275,0.312675,0.348525,0.3524,0.0,4.0,Newala DC 03-03,2022-12-28 07:42:49,362.0,12.0,0.31012122920778123,0.0,2022.0,0.3843510872476968
9641,0.16065,0.385025,0.257025,0.1561,0.174125,0.175625,0.234825,0.31765,0.354175,0.371075,0.4032,0.40525,0.0,4.0,Newala DC 03-03,2022-09-04 07:43:02,247.0,9.0,0.39316719215652396,0.0,2022.0,0.4991719766179357
9642,0.166075,0.42245,0.2976999999999999,0.163425,0.178975,0.187925,0.235575,0.291175,0.320275,0.3394,0.37085,0.3707,0.0,4.0,Newala DC 03-03,2022-10-04 07:42:57,277.0,10.0,0.32736790300210283,0.0,2022.0,0.4199524777024002
9643,0.166275,0.43,0.306975,0.164,0.179025,0.1922499999999999,0.235725,0.2876499999999999,0.31735,0.338525,0.366425,0.3679249999999999,0.0,4.0,Newala DC 03-03,2022-10-14 07:42:54,287.0,10.0,0.31176444265449527,0.0,2022.0,0.4039121562079683
9644,0.166375,0.44415,0.3152749999999999,0.165225,0.1797499999999999,0.194175,0.243275,0.293175,0.3198999999999999,0.3389,0.3691,0.374875,0.0,4.0,Newala DC 03-03,2022-10-24 07:42:53,297.0,10.0,0.31054990901424706,0.0,2022.0,0.4057313834413815
9645,0.1661,0.443075,0.32045,0.169575,0.18445,0.187625,0.2430999999999999,0.2985,0.3329,0.343075,0.374475,0.3633999999999999,0.0,4.0,Newala DC 03-03,2022-12-18 07:42:49,352.0,12.0,0.3324141611812845,0.0,2022.0,0.4273641114783344
9646,0.1657249999999999,0.4040499999999999,0.2996999999999999,0.166225,0.1799,0.17645,0.2365,0.303675,0.3309499999999999,0.347225,0.37715,0.363775,0.0,4.0,Newala DC 03-03,2022-12-28 07:42:49,362.0,12.0,0.36253612716763006,0.0,2022.0,0.45102137126677
9647,0.162025,0.367875,0.247675,0.1525999999999999,0.170475,0.16735,0.221575,0.3082,0.3429,0.3626749999999999,0.3905,0.392725,0.0,4.0,Newala DC 03-03,2022-09-04 07:43:02,247.0,9.0,0.40001792596576147,0.0,2022.0,0.48958950393821715
9648,0.1680749999999999,0.398175,0.2787,0.159475,0.17835,0.17465,0.233425,0.302575,0.33215,0.354,0.3759749999999999,0.3712499999999999,0.0,4.0,Newala DC 03-03,2022-10-04 07:42:57,277.0,10.0,0.36562996594778646,0.0,2022.0,0.4518065529622977
9649,0.167925,0.4058,0.282825,0.1614,0.17905,0.1801249999999999,0.2348749999999999,0.298425,0.325075,0.350525,0.3723499999999999,0.372575,0.0,4.0,Newala DC 03-03,2022-10-14 07:42:54,287.0,10.0,0.3479342956694874,0.0,2022.0,0.43601782858698235
9650,0.156025,0.424625,0.30295,0.159,0.180125,0.18515,0.24385,0.2996,0.336075,0.36,0.379675,0.381075,0.0,4.0,Newala DC 03-03,2022-11-08 07:42:49,312.0,11.0,0.34439870756428975,0.0,2022.0,0.4413199328463178
9651,0.162925,0.4326,0.3025,0.158325,0.182725,0.186075,0.2477749999999999,0.30965,0.339175,0.3586,0.3874,0.3859249999999999,0.0,4.0,Newala DC 03-03,2022-11-13 07:42:53,317.0,11.0,0.35106151096386073,0.0,2022.0,0.4541353213854709
9652,0.1697,0.411425,0.2908,0.1623,0.1834,0.18535,0.2416249999999999,0.297825,0.3238999999999999,0.34195,0.366975,0.36795,0.0,4.0,Newala DC 03-03,2022-12-03 07:42:50,337.0,12.0,0.3288371882496719,0.0,2022.0,0.41697277193626886
9653,0.168925,0.4279,0.3027999999999999,0.1710249999999999,0.191725,0.1854,0.2497,0.3161,0.3520749999999999,0.370075,0.396675,0.3887,0.0,4.0,Newala DC 03-03,2022-12-18 07:42:49,352.0,12.0,0.3629686896018554,0.0,2022.0,0.4721967682095523
9654,0.169475,0.389625,0.279575,0.168325,0.18955,0.1778249999999999,0.245,0.321575,0.359025,0.372975,0.3987,0.385725,0.0,4.0,Newala DC 03-03,2022-12-28 07:42:49,362.0,12.0,0.3831143489007417,0.0,2022.0,0.48781430480250026
