,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,CLD,SCL,mtwara_cluster,datetime,day of year,month,ndvi,target,year,evi
43,0.167625,0.435375,0.34095,0.1626,0.1909499999999999,0.207725,0.266725,0.361425,0.39315,0.41485,0.42135,0.4169,0.0,4.0,Mtwara DC 01-11,2022-10-14 07:42:51,287.0,10.0,0.3395858999324405,1.0,2022.0,0.48124035548146565
44,0.14825,0.0,0.332325,0.152825,0.1803499999999999,0.194975,0.249875,0.34,0.3752999999999999,0.3877,0.0,0.0,0.0,4.0,Mtwara DC 01-11,2022-10-19 07:42:46,292.0,10.0,-1.0,1.0,2022.0,-0.6889210819214531
45,0.16075,0.4665749999999999,0.3707249999999999,0.1660249999999999,0.19945,0.21775,0.287925,0.39115,0.4385,0.4537,0.4735,0.4546249999999999,0.0,4.0,Mtwara DC 01-11,2022-10-29 07:42:46,302.0,10.0,0.36998191681735987,1.0,2022.0,0.5574931880108991
46,0.14955,0.448125,0.355425,0.1546499999999999,0.1896999999999999,0.208975,0.2755499999999999,0.3796,0.419075,0.4385,0.4529249999999999,0.4407999999999999,0.0,4.0,Mtwara DC 01-11,2022-11-08 07:42:46,312.0,11.0,0.368560205469104,1.0,2022.0,0.5352304266265892
47,0.1496,0.418775,0.333275,0.14665,0.1767,0.196625,0.2578,0.34065,0.3692499999999999,0.3870999999999999,0.39675,0.39195,0.0,4.0,Mtwara DC 01-11,2022-11-13 07:42:50,317.0,11.0,0.3372656414577628,1.0,2022.0,0.4540813432412502
48,0.159325,0.454275,0.35875,0.16095,0.1926,0.2089,0.2768,0.3771,0.42555,0.4387999999999999,0.4565,0.4447,0.0,4.0,Mtwara DC 01-11,2022-11-18 07:42:47,322.0,11.0,0.37210700330628194,1.0,2022.0,0.5414862441499365
49,0.1426,0.4182,0.33445,0.1466,0.1798,0.2012,0.2573749999999999,0.354525,0.386925,0.409,0.418675,0.406475,0.0,4.0,Mtwara DC 01-11,2022-11-28 07:42:46,332.0,11.0,0.35083686227061917,1.0,2022.0,0.48679350867375504
50,0.16035,0.411475,0.331675,0.1604,0.187875,0.1987499999999999,0.25905,0.34695,0.383575,0.38815,0.4095,0.400625,0.0,4.0,Mtwara DC 01-11,2022-12-08 07:42:43,342.0,12.0,0.3464858199753393,1.0,2022.0,0.4740749072095378
51,0.1678,0.4382999999999999,0.335075,0.1579499999999999,0.1967749999999999,0.202025,0.2709749999999999,0.36335,0.4022,0.448,0.4336,0.420625,0.0,4.0,Mtwara DC 01-11,2022-12-18 07:42:46,352.0,12.0,0.3643264503441494,1.0,2022.0,0.5120791641328983
52,0.1432999999999999,0.3523,0.2583749999999999,0.1423249999999999,0.167,0.161825,0.222875,0.32915,0.369325,0.3792999999999999,0.397025,0.3742499999999999,0.0,4.0,Mtwara DC 01-11,2022-12-28 07:42:46,362.0,12.0,0.42086427485013866,1.0,2022.0,0.5094051525291577
5028,0.17535,0.4565,0.3366,0.172325,0.195675,0.197625,0.2782,0.3709749999999999,0.4085,0.4155,0.449725,0.4539499999999999,0.0,4.25,Mtwara DC 01-11,2022-10-14 07:42:51,287.0,10.0,0.38943384567853556,1.0,2022.0,0.546481254674138
5029,0.150175,0.0,0.335125,0.155575,0.180825,0.1834,0.25965,0.345875,0.3849749999999999,0.38565,0.0,0.0,0.0,4.25,Mtwara DC 01-11,2022-10-19 07:42:46,292.0,10.0,-1.0,1.0,2022.0,-0.6325010346254657
5030,0.16485,0.467425,0.3470499999999999,0.161775,0.192125,0.20115,0.280775,0.3711,0.4054,0.4125,0.446875,0.448775,0.0,4.25,Mtwara DC 01-11,2022-11-03 07:42:51,307.0,11.0,0.37919061764592416,1.0,2022.0,0.5364471903244117
5031,0.156025,0.481475,0.36255,0.1594,0.1937749999999999,0.200275,0.2857,0.378175,0.4251749999999999,0.4339,0.4705249999999999,0.463775,0.0,4.25,Mtwara DC 01-11,2022-11-08 07:42:46,312.0,11.0,0.40287716159809167,1.0,2022.0,0.5774017455586533
