,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,CLD,SCL,Nanyamba_cluster,datetime,day of year,month,ndvi,target,year
1408,0.151175,0.35335,0.25165,0.163575,0.189075,0.1851249999999999,0.243875,0.3526,0.4000249999999999,0.39135,0.431575,0.41955,0.0,4.0,Nanyamba TC 05-12,2022-12-18 07:42:46,352.0,12.0,0.3577345071338742,1.0,2022.0
5113,0.155675,0.4166499999999999,0.322925,0.18185,0.2105,0.2289,0.27325,0.376675,0.414025,0.4040499999999999,0.448475,0.453675,0.0,4.25,Nanyamba TC 05-12,2022-09-04 07:42:59,247.0,9.0,0.2767201200726755,1.0,2022.0
5114,0.1868999999999999,0.4640000000000001,0.356575,0.1986,0.22865,0.237225,0.3112749999999999,0.429875,0.461325,0.4811,0.51075,0.5099750000000001,0.0,4.25,Nanyamba TC 05-12,2022-10-14 07:42:51,287.0,10.0,0.3395050986670379,1.0,2022.0
5115,0.15825,0.4267,0.33415,0.176125,0.207525,0.21975,0.291525,0.3833249999999999,0.4150999999999999,0.4313,0.443875,0.43925,0.0,4.25,Nanyamba TC 05-12,2022-11-13 07:42:50,317.0,11.0,0.3249366408109976,1.0,2022.0
5116,0.1696,0.4540749999999999,0.3515749999999999,0.168125,0.1992999999999999,0.2218,0.287425,0.374825,0.410925,0.4302,0.453675,0.447425,0.0,4.25,Nanyamba TC 05-12,2022-09-04 07:42:59,247.0,9.0,0.3196319018404908,1.0,2022.0
5117,0.155425,0.4041,0.306675,0.1677499999999999,0.1961,0.20325,0.2619749999999999,0.366825,0.405625,0.41655,0.4413,0.4346,0.0,4.25,Nanyamba TC 05-12,2022-09-04 07:42:59,247.0,9.0,0.3441432720232333,1.0,2022.0
5118,0.18365,0.4461,0.331075,0.19635,0.2301,0.2367,0.302575,0.412575,0.4537,0.4831,0.490475,0.4621499999999999,0.0,4.25,Nanyamba TC 05-12,2022-10-14 07:42:51,287.0,10.0,0.34231731036399,1.0,2022.0
5119,0.18825,0.4656499999999999,0.3542,0.20255,0.2385,0.2443999999999999,0.3151,0.42485,0.4735,0.4864,0.513,0.48145,0.0,4.25,Nanyamba TC 05-12,2022-10-29 07:42:46,302.0,10.0,0.3311439518336072,1.0,2022.0
5120,0.15385,0.419075,0.332225,0.1722749999999999,0.2071,0.2172,0.27535,0.356525,0.3933,0.4044,0.426575,0.3994,0.0,4.25,Nanyamba TC 05-12,2022-11-28 07:42:46,332.0,11.0,0.3011583011583011,1.0,2022.0
5121,0.159,0.449175,0.3537,0.1696,0.1987499999999999,0.2191,0.275025,0.349375,0.38855,0.41495,0.424425,0.409025,0.0,4.25,Nanyamba TC 05-12,2022-11-08 07:42:46,312.0,11.0,0.3088873117262045,1.0,2022.0
5122,0.16175,0.455325,0.3478,0.163925,0.19605,0.2153,0.270575,0.3478,0.382675,0.40345,0.4213249999999999,0.403875,0.0,4.25,Nanyamba TC 05-12,2022-11-13 07:42:50,317.0,11.0,0.3040808080808081,1.0,2022.0
5123,0.156825,0.437125,0.3467,0.163875,0.19565,0.2123,0.271825,0.3461749999999999,0.383075,0.4087499999999999,0.41795,0.3994,0.0,4.25,Nanyamba TC 05-12,2022-11-28 07:42:46,332.0,11.0,0.3163191369454954,1.0,2022.0
5124,0.1599,0.4403,0.3458,0.163175,0.19705,0.21425,0.271625,0.34925,0.38085,0.4042,0.4194,0.4013,0.0,4.25,Nanyamba TC 05-12,2022-12-03 07:42:47,337.0,12.0,0.3071388147788827,1.0,2022.0
5125,0.156475,0.3793249999999999,0.272925,0.1599,0.190325,0.189975,0.255175,0.34695,0.390875,0.39975,0.4263,0.4043,0.0,4.25,Nanyamba TC 05-12,2022-12-18 07:42:46,352.0,12.0,0.3557166475899783,1.0,2022.0
5126,0.1596,0.3642499999999999,0.251575,0.1605,0.1803,0.1874249999999999,0.23965,0.3341,0.36505,0.35135,0.4037,0.371225,0.0,4.25,Nanyamba TC 05-12,2022-09-24 07:42:54,267.0,9.0,0.304255022968772,1.0,2022.0
5127,0.145225,0.435425,0.333175,0.163875,0.1967749999999999,0.20855,0.2736,0.363775,0.4098,0.4441,0.44755,0.407175,0.0,4.25,Nanyamba TC 05-12,2022-11-08 07:42:46,312.0,11.0,0.3609132000306443,1.0,2022.0
5128,0.1489,0.440675,0.3324999999999999,0.164075,0.19625,0.20775,0.272825,0.362,0.3973,0.4381,0.443,0.4000249999999999,0.0,4.25,Nanyamba TC 05-12,2022-11-13 07:42:50,317.0,11.0,0.3566617635673917,1.0,2022.0
5129,0.143425,0.430025,0.3248999999999999,0.1571499999999999,0.1941,0.1993,0.2706,0.3622,0.4061,0.4518999999999999,0.445675,0.40155,0.0,4.25,Nanyamba TC 05-12,2022-11-28 07:42:46,332.0,11.0,0.3878992628992628,1.0,2022.0
5130,0.1491,0.43975,0.32655,0.162325,0.19715,0.2061,0.2736499999999999,0.36065,0.401875,0.4384,0.4390999999999999,0.3957499999999999,0.0,4.25,Nanyamba TC 05-12,2022-12-03 07:42:47,337.0,12.0,0.3604344453064391,1.0,2022.0
5131,0.187175,0.4757749999999999,0.371825,0.1838499999999999,0.2222,0.23035,0.3147,0.43315,0.47705,0.4981,0.5184,0.4643,0.0,4.25,Nanyamba TC 05-12,2022-10-14 07:42:51,287.0,10.0,0.367561260210035,1.0,2022.0
5132,0.15025,0.4353,0.3555999999999999,0.1637749999999999,0.19755,0.203,0.290325,0.3968,0.43645,0.4533,0.4666749999999999,0.393825,0.0,4.25,Nanyamba TC 05-12,2022-11-08 07:42:46,312.0,11.0,0.3813804662501904,1.0,2022.0
5133,0.15295,0.40965,0.336325,0.15715,0.19,0.1952499999999999,0.273225,0.37455,0.406625,0.4195,0.434875,0.394125,0.0,4.25,Nanyamba TC 05-12,2022-11-13 07:42:50,317.0,11.0,0.3647824318828794,1.0,2022.0
5766,0.19825,0.5213,0.3742,0.2185,0.25375,0.26735,0.343375,0.498675,0.55525,0.5725,0.612625,0.563075,0.0,4.5,Nanyamba TC 05-12,2022-11-03 07:42:51,307.0,11.0,0.363338691432994,1.0,2022.0
5767,0.157625,0.451225,0.3485499999999999,0.179425,0.2095999999999999,0.2360499999999999,0.2835249999999999,0.357475,0.392275,0.4216,0.43655,0.43665,0.0,4.5,Nanyamba TC 05-12,2022-11-13 07:42:50,317.0,11.0,0.2821409564357943,1.0,2022.0
5768,0.15365,0.4413249999999999,0.3591249999999999,0.178925,0.210525,0.23425,0.2818499999999999,0.35025,0.38485,0.4076,0.4172749999999999,0.4216249999999999,0.0,4.5,Nanyamba TC 05-12,2022-11-28 07:42:46,332.0,11.0,0.2700786788190387,1.0,2022.0
5769,0.1589749999999999,0.422475,0.31245,0.176725,0.2049,0.2224499999999999,0.28005,0.34945,0.3879,0.41485,0.4332999999999999,0.421475,0.0,4.5,Nanyamba TC 05-12,2022-12-18 07:42:46,352.0,12.0,0.3018986348658405,1.0,2022.0
5770,0.183275,0.466775,0.36595,0.20135,0.23075,0.23085,0.3112,0.4237,0.4726749999999999,0.4911999999999999,0.511075,0.5009,0.0,4.5,Nanyamba TC 05-12,2022-10-29 07:42:46,302.0,10.0,0.360570597604044,1.0,2022.0
5771,0.1551499999999999,0.425375,0.3443,0.1794,0.208675,0.2124,0.2835,0.377,0.415275,0.4395,0.4425999999999999,0.4443,0.0,4.5,Nanyamba TC 05-12,2022-11-08 07:42:46,312.0,11.0,0.3483663138518177,1.0,2022.0
5772,0.152325,0.4271749999999999,0.3460249999999999,0.167275,0.207475,0.2111,0.28025,0.36185,0.396875,0.4331,0.4272,0.421375,0.0,4.5,Nanyamba TC 05-12,2022-11-28 07:42:46,332.0,11.0,0.3446134740763737,1.0,2022.0
5773,0.1593,0.42585,0.33695,0.1742749999999999,0.2078499999999999,0.2211499999999999,0.293725,0.376375,0.392225,0.42385,0.430825,0.421325,0.0,4.5,Nanyamba TC 05-12,2022-12-03 07:42:47,337.0,12.0,0.3142635658914731,1.0,2022.0
5774,0.1610999999999999,0.409475,0.3144,0.146425,0.166275,0.1692,0.236875,0.293675,0.32825,0.3435,0.3677,0.360125,0.0,4.5,Nanyamba TC 05-12,2022-11-28 07:42:46,332.0,11.0,0.3399648917495612,1.0,2022.0
